Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team,foto
111,Braian Cufré,ARG,DF,Mallorca,25,1996,3,2,194,2.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11,https://cdn.sofifa.net/players/notfound_0_60.png
112,Matheus Cunha,BRA,"FW,MF",Atletico Madrid,23,1999,11,2,377,4.2,0,2,0,0,0,2,0,0.0,0.48,0.48,0.0,0.48,2,https://cdn.sofifa.net/players/notfound_0_60.png
113,Curro,ESP,MF,Almeria,26,1996,2,0,43,0.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,https://cdn.sofifa.net/players/notfound_0_60.png
114,Sergi Darder,ESP,MF,Espanyol,28,1993,14,14,1233,13.7,2,1,2,0,0,2,0,0.15,0.07,0.22,0.15,0.22,8,https://cdn.sofifa.net/players/notfound_0_60.png
115,Rodrigo De Paul,ARG,MF,Atletico Madrid,28,1994,12,9,670,7.4,1,1,1,0,0,2,0,0.13,0.13,0.27,0.13,0.27,2,https://cdn.sofifa.net/players/notfound_0_60.png
116,Alberto Del Moral,ESP,MF,Villarreal,22,2000,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19,https://cdn.sofifa.net/players/notfound_0_60.png
117,Thomas Delaney,DEN,MF,Sevilla,31,1991,8,2,309,3.4,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
118,Fran Delgado,ESP,DF,Betis,21,2001,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,https://cdn.sofifa.net/players/notfound_0_60.png
119,Ousmane Dembélé,FRA,FW,Barcelona,25,1997,14,11,866,9.6,4,5,4,0,0,3,0,0.42,0.52,0.94,0.42,0.94,3,https://cdn.sofifa.net/players/notfound_0_60.png
120,Mouctar Diakhaby,GUI,DF,Valencia,25,1996,10,10,791,8.8,2,0,2,0,0,5,1,0.23,0.0,0.23,0.23,0.23,17,https://cdn.sofifa.net/players/notfound_0_60.png
121,Mamady Diarra,MLI,"MF,DF",Cadiz,22,2000,2,1,66,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
122,Stole Dimitrievski,MKD,GK,Rayo Vallecano,28,1993,13,13,1170,13.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,13,https://cdn.sofifa.net/players/notfound_0_60.png
123,Malcom Abdulai Ares Djalo,ESP,FW,Athletic Club,21,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,https://cdn.sofifa.net/players/notfound_0_60.png
124,Djené,TOG,DF,Getafe,30,1991,12,12,1002,11.1,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,9,https://cdn.sofifa.net/players/notfound_0_60.png
125,Marko Dmitrović,SRB,GK,Sevilla,30,1992,3,2,225,2.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
126,Kasper Dolberg,DEN,FW,Sevilla,25,1997,4,2,197,2.2,0,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,16,https://cdn.sofifa.net/players/notfound_0_60.png
127,Carlos Dominguez,ESP,MF,Celta Vigo,21,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,https://cdn.sofifa.net/players/notfound_0_60.png
128,John Donald,ESP,DF,Elche,22,2000,3,2,150,1.7,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
