Id,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,Id_HomeTeam,Id_AwayTeam
130,SP1,2022-10-20,Almeria,Girona,3,2,H,3,0,H,13,14,7,5,14,14,4,5,1,3,0,0,2.6,3.25,2.8,2.5,3.25,2.8,2223,0,10
131,SP1,2022-10-19,Elche,Real Madrid,0,3,A,0,1,A,10,10,3,7,14,10,8,2,1,1,0,0,8.5,5.75,1.3,8.75,5.75,1.31,2223,7,14
132,SP1,2022-10-19,Real Sociedad,Mallorca,1,0,H,1,0,H,14,12,7,3,18,9,10,7,1,2,0,0,1.55,4.0,6.5,1.55,4.0,6.25,2223,15,11
133,SP1,2022-10-19,Valladolid,Celta Vigo,4,1,H,1,1,D,9,22,7,5,12,11,3,7,1,1,0,0,2.9,3.3,2.45,2.8,3.2,2.55,2223,18,6
134,SP1,2022-10-19,Cadiz,Betis,0,0,D,0,0,D,13,12,3,3,15,7,4,9,1,2,0,1,4.0,3.3,2.0,3.6,3.25,2.1,2223,5,4
135,SP1,2022-10-18,Sevilla,Valencia,1,1,D,0,1,A,18,13,5,5,11,26,11,6,4,7,1,0,2.25,3.4,3.2,2.25,3.3,3.2,2223,16,17
136,SP1,2022-10-18,Atletico Madrid,Rayo Vallecano,1,1,D,1,0,H,12,14,4,4,11,11,3,4,3,0,0,0,1.55,3.75,7.0,1.53,3.9,6.75,2223,2,13
137,SP1,2022-10-18,Getafe,Athletic Club,2,2,D,1,1,D,11,14,4,4,14,11,7,4,7,4,0,0,4.75,3.3,1.83,4.4,3.3,1.9,2223,9,1
138,SP1,2022-10-17,Villarreal,Osasuna,2,0,H,1,0,H,12,14,9,3,14,23,8,4,2,6,0,0,1.57,4.2,6.0,1.58,4.1,5.5,2223,19,12
139,SP2,2022-10-17,Sporting Gijon,Eibar,2,0,H,1,0,H,9,13,5,1,13,7,3,4,1,1,0,0,2.8,3.1,2.55,2.8,2.95,2.45,2223,37,26
140,SP2,2022-10-16,Cartagena,UD Ibiza,2,0,H,0,0,D,18,15,6,5,13,11,5,3,4,1,0,0,1.75,3.75,4.75,1.73,3.4,4.4,2223,24,39
141,SP2,2022-10-16,Tenerife,Granada,2,0,H,1,0,H,11,7,4,2,16,12,4,0,3,4,0,0,2.87,3.2,2.5,2.85,2.9,2.5,2223,38,27
142,SP2,2022-10-16,Malaga,Lugo,3,2,H,1,0,H,13,16,5,8,11,10,6,5,3,3,0,0,1.9,3.3,4.5,1.88,3.2,3.9,2223,33,32
